rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude,bedrooms_max
1613.52,2020,1,2020H1,1,Dublin,Leinster,I.F.S.C.,"I.F.S.C., Dublin 1",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1404.73,2020,1,2020H1,1,Dublin,Leinster,Parnell Street,"Parnell Street, Dublin 1",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1449.85,2020,1,2020H1,1,Dublin,Leinster,Summerhill,"Summerhill, Dublin 1",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1782.07,2020,1,2020H1,1,Dublin,Leinster,Dublin 2,Dublin 2,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1643.65,2020,1,2020H1,1,Dublin,Leinster,Pearse Street,"Pearse Street, Dublin 2",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1686.59,2020,1,2020H1,1,Dublin,Leinster,Townsend Street,"Townsend Street, Dublin 2",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1466.12,2020,1,2020H1,1,Dublin,Leinster,Dublin 3,Dublin 3,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1478.32,2020,1,2020H1,1,Dublin,Leinster,Clontarf,"Clontarf, Dublin 3",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1217.02,2020,1,2020H1,1,Dublin,Leinster,Drumcondra,"Drumcondra, Dublin 3",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1512.97,2020,1,2020H1,1,Dublin,Leinster,East Wall,"East Wall, Dublin 3",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1379.42,2020,1,2020H1,1,Dublin,Leinster,Fairview,"Fairview, Dublin 3",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1701.72,2020,1,2020H1,1,Dublin,Leinster,Dublin 4,Dublin 4,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1711.03,2020,1,2020H1,1,Dublin,Leinster,Ballsbridge,"Ballsbridge, Dublin 4",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1484.19,2020,1,2020H1,1,Dublin,Leinster,Donnybrook,"Donnybrook, Dublin 4",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1555.8,2020,1,2020H1,1,Dublin,Leinster,Merrion,"Merrion, Dublin 4",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1737.18,2020,1,2020H1,1,Dublin,Leinster,Pembroke,"Pembroke, Dublin 4",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
